"","fecha","temperatura","humedad_relativa","velocidad_viento","lluvia","irradiacion","evotranspiracion"
"1","1/1/2015",27.88,65.08,7.08,0,228.58,5.04
"2","2/1/2015",28.06,66.21,6.47,0,231.17,4.86
"3","3/1/2015",28.91,65.21,5.4,0,244.17,5.12
"4","4/1/2015",28.13,67.88,6.61,0,182.38,4.13
"5","5/1/2015",28,66.25,8.85,0,246,5.38
"6","6/1/2015",27.68,68,7.4,0,189.46,4.23
"7","7/1/2015",27.27,65,8.43,0,246.92,5.26
"8","8/1/2015",27.38,64.46,7.97,0,247.04,5.36
"9","9/1/2015",27.3,64.42,7.68,0,246.42,5.22
"10","10/1/2015",27.8,64.38,7.68,0,245.08,5.24
"11","11/1/2015",28.08,68.21,7,0,233.25,4.78
"12","12/1/2015",28.94,66.71,6.07,0,243.21,5.09
"13","13/1/2015",27.87,71.04,6.14,0.25,191.63,4.17
"14","14/1/2015",28.6,63.08,5.27,0,251.67,5.33
"15","15/1/2015",28.06,68.42,4,0,242.13,4.87
"16","16/1/2015",27.61,68.5,7.07,0,201.79,4.31
"17","17/1/2015",27.68,61.17,6.61,0,220.04,5.03
"18","18/1/2015",27.22,62.92,4.87,0,246.67,5.21
"19","19/1/2015",26.73,61.83,4.73,0,230.83,4.92
"20","20/1/2015",25.92,71.33,3.6,0,182.58,3.85
"21","21/1/2015",27.87,63.21,5.07,0,244.67,5.12
"22","22/1/2015",27.05,64.5,4.07,0,153.79,3.48
"23","23/1/2015",27.32,67.29,2.87,0,249.21,5
"24","24/1/2015",26.51,67.83,3.4,0,255.42,5.08
"25","25/1/2015",27.06,64.88,6.67,0,254.63,5.28
"26","26/1/2015",27.22,62.04,6.28,0,260.96,5.5
"27","27/1/2015",27.64,60.79,6.74,0,257.83,5.61
"28","28/1/2015",26.41,61.13,5.88,0,257.04,5.46
"29","29/1/2015",27.48,56.5,6.27,0,255.79,5.72
"30","30/1/2015",27.01,62.96,6.56,0,256.54,5.53
"31","31/1/2015",27,63.92,7.42,0,258.13,5.46
"32","1/2/2015",28.15,62.32,6.34,0,247.32,5.48
"33","2/2/2015",28.75,62.61,5.7,0,269.87,10.95
"34","3/2/2015",28.44,60.88,6.68,0,258.17,5.73
"35","4/2/2015",28.39,59.67,6.14,0,254,5.51
"36","5/2/2015",27.6,67.58,4.47,0,257.71,5.23
